"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,5000,4,54991,7.0934,"?"
"Depth First Search",FALSE,"Iterations",NA,NA,5000,4999,52502,8.7778,"?"
"Depth Limited Search - Limit=30",FALSE,"Iterations",NA,NA,5000,30,317,0.2588,"?"
"Iterative Deepening Search - Final Limit=4",FALSE,"Iterations",NA,NA,5000,4,44,0.1922,"?"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,5000,5,55001,104.4716,"?"
"Greedy Best-First Search",TRUE,"Solution",6,0.0066,7,6,67,0.003,"9,8"
"A* Search",FALSE,"Iterations",NA,NA,5000,12,55001,131.4761,"?"
"Breadth First Search + GS",TRUE,"Solution",6,0.0066,74,6,17,0.0414,"9,8"
"Depth First Search + GS",TRUE,"Solution",25,0.03,52,36,43,0.0216,"9,8"
"Depth Limited Search - Limit=30 + GS",TRUE,"Solution",25,0.03,44,30,40,0.0169,"9,8"
"Iterative Deepening Search - Final Limit=7 + GS",TRUE,"Solution",6,0.0066,232,6,14,0.0769,"9,8"
"Uniform Cost Search + GS",TRUE,"Solution",6,0.0066,73,6,19,0.0383,"9,8"
"Greedy Best-First Search + GS",TRUE,"Solution",6,0.0066,7,6,16,0.003,"9,8"
"A* Search + GS",TRUE,"Solution",6,0.0066,10,6,17,0.0048,"9,8"
