"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",1,0,3,1,8,7e-04,"12,11"
"Depth First Search",FALSE,"Iterations",NA,NA,5000,4999,17501,2.876,"?"
"Depth Limited Search - Limit=30",TRUE,"Solution",30,0.0348,33,30,106,0.0054,"12,11"
"Iterative Deepening Search - Final Limit=2",TRUE,"Solution",1,0,4,1,4,0.0013,"12,11"
"Uniform Cost Search",TRUE,"Solution",1,0,2,1,4,6e-04,"12,11"
"Greedy Best-First Search",TRUE,"Solution",1,0,2,1,4,6e-04,"12,11"
"A* Search",TRUE,"Solution",1,0,2,1,4,4e-04,"12,11"
"Breadth First Search + GS",TRUE,"Solution",1,0,3,1,4,6e-04,"12,11"
"Depth First Search + GS",TRUE,"Solution",1,0,59,49,8,0.0155,"12,11"
"Depth Limited Search - Limit=30 + GS",TRUE,"Solution",1,0,47,30,7,0.0104,"12,11"
"Iterative Deepening Search - Final Limit=2 + GS",TRUE,"Solution",1,0,4,1,4,0.0019,"12,11"
"Uniform Cost Search + GS",TRUE,"Solution",1,0,2,1,4,5e-04,"12,11"
"Greedy Best-First Search + GS",TRUE,"Solution",1,0,2,1,4,5e-04,"12,11"
"A* Search + GS",TRUE,"Solution",1,0,2,1,4,5e-04,"12,11"
