"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,5000,7,12163,1.7904,"?"
"Depth First Search",FALSE,"Iterations",NA,NA,5000,4999,15001,2.2139,"?"
"Depth Limited Search - Limit=30",FALSE,"Iterations",NA,NA,5000,30,93,0.2166,"?"
"Iterative Deepening Search - Final Limit=7",FALSE,"Iterations",NA,NA,5000,7,24,0.1943,"?"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,5000,12,10003,17.3875,"?"
"Greedy Best-First Search",FALSE,"Iterations",NA,NA,5000,28,15001,25.0439,"?"
"A* Search",FALSE,"Iterations",NA,NA,5000,4999,15001,33.4922,"?"
"Breadth First Search + GS",TRUE,"Solution",28,0.033,61,28,4,0.0097,"12,11"
"Depth First Search + GS",TRUE,"Solution",38,0.045,59,38,4,0.0122,"12,11"
"Depth Limited Search - Limit=30 + GS",FALSE,"Cutoff",NA,NA,52,30,4,0.0092,"?"
"Iterative Deepening Search - Final Limit=31 + GS",FALSE,"Cutoff",NA,NA,1071,30,4,0.2206,"?"
"Uniform Cost Search + GS",TRUE,"Solution",28,0.033,61,28,5,0.0106,"12,11"
"Greedy Best-First Search + GS",TRUE,"Solution",28,0.033,41,28,7,0.0094,"12,11"
"A* Search + GS",TRUE,"Solution",28,0.033,49,28,5,0.0146,"12,11"
