"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",1,0,5,1,11,0.0014,"10,10"
"Depth First Search",FALSE,"Iterations",NA,NA,5000,4999,17501,3.5668,"?"
"Depth Limited Search - Limit=30",TRUE,"Solution",30,0.0348,35,30,106,0.0062,"10,10"
"Iterative Deepening Search - Final Limit=2",TRUE,"Solution",1,0,6,1,4,0.0015,"10,10"
"Uniform Cost Search",TRUE,"Solution",1,0,4,1,7,0.0017,"10,10"
"Greedy Best-First Search",TRUE,"Solution",1,0,2,1,4,6e-04,"10,10"
"A* Search",TRUE,"Solution",1,0,2,1,4,7e-04,"10,10"
"Breadth First Search + GS",TRUE,"Solution",1,0,5,1,4,0.001,"10,10"
"Depth First Search + GS",TRUE,"Solution",1,0,58,39,6,0.0134,"10,10"
"Depth Limited Search - Limit=30 + GS",TRUE,"Solution",1,0,58,30,5,0.0219,"10,10"
"Iterative Deepening Search - Final Limit=2 + GS",TRUE,"Solution",1,0,6,1,4,0.0024,"10,10"
"Uniform Cost Search + GS",TRUE,"Solution",1,0,4,1,4,0.0011,"10,10"
"Greedy Best-First Search + GS",TRUE,"Solution",1,0,2,1,4,8e-04,"10,10"
"A* Search + GS",TRUE,"Solution",1,0,2,1,4,9e-04,"10,10"
