"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",4,0.0042,759,4,3268,0.1803,"12,5"
"Depth First Search",FALSE,"Iterations",NA,NA,5000,4999,17503,3.1362,"?"
"Depth Limited Search - Limit=30",TRUE,"Solution",30,0.0354,522,30,109,0.0264,"12,5"
"Iterative Deepening Search - Final Limit=5",TRUE,"Solution",4,0.0042,938,4,18,0.0342,"12,5"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,5000,12,20001,33.9416,"?"
"Greedy Best-First Search",TRUE,"Solution",4,0.0042,5,4,17,0.001,"12,5"
"A* Search",FALSE,"Iterations",NA,NA,5000,4999,20001,52.7445,"?"
"Breadth First Search + GS",TRUE,"Solution",4,0.0042,47,4,19,0.0103,"12,5"
"Depth First Search + GS",TRUE,"Solution",43,0.0516,80,47,43,0.0192,"12,5"
"Depth Limited Search - Limit=30 + GS",FALSE,"Cutoff",NA,NA,107,30,32,0.0229,"?"
"Iterative Deepening Search - Final Limit=5 + GS",TRUE,"Solution",4,0.0042,99,4,8,0.0432,"12,5"
"Uniform Cost Search + GS",TRUE,"Solution",4,0.0042,40,4,21,0.0115,"12,5"
"Greedy Best-First Search + GS",TRUE,"Solution",4,0.0042,5,4,9,0.0028,"12,5"
"A* Search + GS",TRUE,"Solution",4,0.0042,5,4,9,0.0027,"12,5"
