"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",2,0.0024,5,2,10,0.003,"2,2"
"Depth First Search",TRUE,"Solution",2,0.0024,3,2,5,0.0019,"2,2"
"Depth Limited Search - Limit=30",TRUE,"Solution",2,0.0024,3,2,5,0.0015,"2,2"
"Iterative Deepening Search - Final Limit=3",TRUE,"Solution",2,0.0024,8,2,5,0.0048,"2,2"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,5000,4999,15000,31.8293,"?"
"Greedy Best-First Search",TRUE,"Solution",2,0.0024,3,2,5,0.0018,"2,2"
"A* Search",TRUE,"Solution",2,0.0024,4,2,8,0.0018,"2,2"
"Breadth First Search + GS",TRUE,"Solution",2,0.0024,5,2,3,0.0013,"2,2"
"Depth First Search + GS",TRUE,"Solution",2,0.0024,3,2,3,0.0013,"2,2"
"Depth Limited Search - Limit=30 + GS",TRUE,"Solution",2,0.0024,3,2,3,9e-04,"2,2"
"Iterative Deepening Search - Final Limit=3 + GS",TRUE,"Solution",2,0.0024,8,2,3,0.0037,"2,2"
"Uniform Cost Search + GS",TRUE,"Solution",2,0.0024,6,2,3,0.0014,"2,2"
"Greedy Best-First Search + GS",TRUE,"Solution",2,0.0024,3,2,3,0.0018,"2,2"
"A* Search + GS",TRUE,"Solution",2,0.0024,4,2,3,0.0016,"2,2"
